instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr
70,2011-03-11,1,2011,march,0,5,working,2,12.977402000000001,15.25,64.95649999999999,15.60899,247,1730,1977,11.826086956521738
71,2011-03-12,1,2011,march,0,6,holiday/weekend,1,13.495847,16.287499999999998,59.458299999999994,14.791924999999999,724,1408,2132,11.5
72,2011-03-13,1,2011,march,0,0,holiday/weekend,1,15.758268000000001,19.004550000000002,52.73910000000001,18.130468,982,1435,2417,11.91304347826087
73,2011-03-14,1,2011,march,0,1,working,1,13.333896999999999,16.6,49.695699999999995,9.174042,359,1687,2046,11.826086956521738
74,2011-03-15,1,2011,march,0,2,working,2,13.013031,15.908900000000001,65.5652,12.348703,289,1767,2056,11.869565217391305
75,2011-03-16,1,2011,march,0,3,working,2,14.973897000000001,18.3465,77.65220000000001,13.608839,321,1871,2192,11.91304347826087
76,2011-03-17,1,2011,march,0,4,working,1,17.015,20.51665,60.291700000000006,14.041792999999998,424,2320,2744,11.5
77,2011-03-18,1,2011,march,0,5,working,1,22.14,26.35045,52.5217,15.478139,884,2355,3239,11.826086956521738
78,2011-03-19,1,2011,march,0,6,holiday/weekend,1,19.3725,23.32625,37.9167,24.667189,1424,1693,3117,11.5
79,2011-03-20,1,2011,march,0,0,holiday/weekend,1,13.6325,16.287499999999998,47.375,13.917307,1047,1424,2471,11.5
80,2011-03-21,2,2011,march,0,1,working,2,17.647835,20.48675,73.73910000000001,19.348461,401,1676,2077,11.826086956521738
81,2011-03-22,2,2011,march,0,2,working,1,18.108347,22.0321,62.4583,15.125250000000001,460,2243,2703,11.5
82,2011-03-23,2,2011,march,0,3,working,2,14.225237,16.89695,83.9565,15.695487,203,1918,2121,11.826086956521738
83,2011-03-24,2,2011,march,0,4,working,2,11.684999999999999,13.541649999999999,80.58330000000001,16.333729,166,1699,1865,11.5
84,2011-03-25,2,2011,march,0,5,working,1,10.830846999999999,12.8156,49.5,15.458575000000002,300,1910,2210,11.5
85,2011-03-26,2,2011,march,0,6,holiday/weekend,1,10.899153,12.87855,39.4167,14.041257,981,1515,2496,11.5
86,2011-03-27,2,2011,march,0,0,holiday/weekend,2,10.374763000000002,12.51695,49.3913,12.348099999999999,472,1221,1693,11.782608695652174
87,2011-03-28,2,2011,march,0,1,working,1,10.838268000000001,12.878700000000002,30.2174,14.217668,222,1806,2028,11.826086956521738
88,2011-03-29,2,2011,march,0,2,working,1,12.4025,14.6454,31.4167,15.208732,317,2108,2425,11.5
89,2011-03-30,2,2011,march,0,3,working,2,12.299999999999999,14.8675,64.6667,11.583495999999998,168,1368,1536,11.5
90,2011-03-31,2,2011,march,0,4,working,3,11.001653,12.87875,91.8333,14.582282000000001,179,1506,1685,11.5
91,2011-04-01,2,2011,april,0,5,working,2,12.299999999999999,14.172699999999999,68.625,17.333436,307,1920,2227,11.5
92,2011-04-02,2,2011,april,0,6,holiday/weekend,2,12.915000000000001,15.78185,65.375,13.208782,898,1354,2252,11.5
93,2011-04-03,2,2011,april,0,0,holiday/weekend,1,15.511652999999999,18.93835,48.0,12.208271000000002,1651,1598,3249,11.5
94,2011-04-04,2,2011,april,0,1,working,1,23.506653,27.14645,42.625,25.833257,734,2381,3115,11.5
95,2011-04-05,2,2011,april,0,2,working,2,16.980847,19.9175,64.2083,26.000488999999998,167,1628,1795,11.5
96,2011-04-06,2,2011,april,0,3,working,1,16.024153,19.3804,47.0833,17.625221,413,2395,2808,11.5
97,2011-04-07,2,2011,april,0,4,working,1,17.9375,21.684800000000003,60.291700000000006,10.874904,571,2570,3141,11.5
98,2011-04-08,2,2011,april,0,5,working,2,13.769153,16.223950000000002,83.625,15.208464,172,1299,1471,11.5
99,2011-04-09,2,2011,april,0,6,holiday/weekend,2,14.0425,17.07645,87.75,8.916561,879,1576,2455,11.5
100,2011-04-10,2,2011,april,0,0,holiday/weekend,2,17.493347,21.33685,85.75,9.833389,1188,1707,2895,11.5
101,2011-04-11,2,2011,april,0,1,working,2,24.421732,28.260849999999998,71.6956,21.739758,855,2493,3348,11.869565217391305
102,2011-04-12,2,2011,april,0,2,working,2,20.6025,24.6527,73.9167,18.416892999999998,257,1777,2034,11.5
103,2011-04-13,2,2011,april,0,3,working,2,16.912499999999998,20.864150000000002,81.91669999999999,16.791338999999997,209,1953,2162,11.5
104,2011-04-14,2,2011,april,0,4,working,1,19.1675,23.1371,54.041700000000006,7.4169,529,2738,3267,11.5
105,2011-04-15,2,2011,april,1,5,holiday/weekend,1,18.313347,22.09565,67.125,15.167124999999999,642,2484,3126,11.5
106,2011-04-16,2,2011,april,0,6,holiday/weekend,3,17.664153000000002,21.2746,88.83330000000001,22.834136,121,674,795,11.5
107,2011-04-17,2,2011,april,0,0,holiday/weekend,1,18.723347,22.2848,47.9583,20.334232,1558,2186,3744,11.5
108,2011-04-18,2,2011,april,0,1,working,1,21.0125,25.1573,54.25,10.958988999999999,669,2760,3429,11.5
109,2011-04-19,2,2011,april,0,2,working,2,20.739152999999998,24.4629,66.5833,10.584057,409,2795,3204,11.5
110,2011-04-20,2,2011,april,0,3,working,1,24.395,28.2196,61.4167,16.208975,613,3331,3944,11.5
111,2011-04-21,2,2011,april,0,4,working,1,18.825847,22.6946,40.708299999999994,21.792286,745,3444,4189,11.5
112,2011-04-22,2,2011,april,0,5,working,2,13.803347,16.0977,72.9583,14.707906999999999,177,1506,1683,11.5
113,2011-04-23,2,2011,april,0,6,holiday/weekend,2,18.86,22.50605,88.79169999999999,15.458575000000002,1462,2574,4036,11.5
114,2011-04-24,2,2011,april,0,0,holiday/weekend,2,23.848347,27.58815,81.08330000000001,12.875725000000001,1710,2481,4191,11.5
115,2011-04-25,2,2011,april,0,1,working,1,24.873347,28.725,77.6667,12.417311,773,3300,4073,11.5
116,2011-04-26,2,2011,april,0,2,working,1,25.898346999999998,29.704150000000002,72.9167,21.875500000000002,678,3722,4400,11.5
117,2011-04-27,2,2011,april,0,3,working,2,25.419999999999998,28.7571,83.54169999999999,20.917399999999997,547,3325,3872,11.5
118,2011-04-28,2,2011,april,0,4,working,2,25.317500000000003,28.946450000000002,70.08330000000001,21.500836000000003,569,3489,4058,11.5
119,2011-04-29,2,2011,april,0,5,working,1,20.91,24.87315,45.7083,16.084221,878,3717,4595,11.5
120,2011-04-30,2,2011,april,0,6,holiday/weekend,1,19.3725,23.201050000000002,50.3333,15.750025,1965,3347,5312,11.5
121,2011-05-01,2,2011,may,0,0,holiday/weekend,2,18.518347,22.4102,76.2083,7.125718,1138,2213,3351,11.5
122,2011-05-02,2,2011,may,0,1,working,2,22.515846999999997,26.64165,73.0,12.291418,847,3554,4401,11.5
123,2011-05-03,2,2011,may,0,2,working,2,25.283347,29.10395,69.7083,22.958689,603,3848,4451,11.5
124,2011-05-04,2,2011,may,0,3,working,2,16.980847,20.2325,73.70830000000001,22.042732,255,2378,2633,11.5
125,2011-05-05,2,2011,may,0,4,working,1,18.825847,22.09585,44.4167,19.791263999999998,614,3819,4433,11.5
126,2011-05-06,2,2011,may,0,5,working,1,19.645847,23.70585,59.0,15.292482,894,3714,4608,11.5
127,2011-05-07,2,2011,may,0,6,holiday/weekend,1,21.32,25.63105,54.125,10.750150000000001,1612,3102,4714,11.5
128,2011-05-08,2,2011,may,0,0,holiday/weekend,1,21.661653,25.946649999999998,63.1667,5.0007125,1401,2932,4333,11.5
129,2011-05-09,2,2011,may,0,1,working,1,21.8325,26.2623,58.875,11.792,664,3698,4362,11.5
130,2011-05-10,2,2011,may,0,2,working,1,21.8325,26.13605,48.9167,7.749956999999999,694,4109,4803,11.5
131,2011-05-11,2,2011,may,0,3,working,1,22.2425,26.419999999999998,63.29169999999999,8.083014,550,3632,4182,11.5
132,2011-05-12,2,2011,may,0,4,working,1,21.935000000000002,26.16815,74.75,12.707689,695,4169,4864,11.5
133,2011-05-13,2,2011,may,0,5,working,2,21.0125,24.715,86.33330000000001,12.041575,692,3413,4105,11.5
134,2011-05-14,2,2011,may,0,6,holiday/weekend,2,21.354153,25.03145,92.25,9.041649999999999,902,2507,3409,11.5
135,2011-05-15,2,2011,may,0,0,holiday/weekend,2,23.0625,26.8,86.70830000000001,10.249593,1582,2971,4553,11.5
136,2011-05-16,2,2011,may,0,1,working,1,23.677500000000002,27.5256,78.79169999999999,8.500357000000001,773,3185,3958,11.5
137,2011-05-17,2,2011,may,0,2,working,2,23.028347,26.926450000000003,83.7917,18.582718,678,3445,4123,11.5
138,2011-05-18,2,2011,may,0,3,working,2,22.55,26.3579,87.0,13.499964,536,3319,3855,11.5
139,2011-05-19,2,2011,may,0,4,working,2,21.764153,25.537100000000002,82.9583,7.250271000000001,735,3840,4575,11.5
140,2011-05-20,2,2011,may,0,5,working,1,22.003347,26.4521,71.9583,8.375871,909,4008,4917,11.5
141,2011-05-21,2,2011,may,0,6,holiday/weekend,1,24.7025,28.59875,62.6667,8.083549999999999,2258,3547,5805,11.5
142,2011-05-22,2,2011,may,0,0,holiday/weekend,1,24.770847,28.725,74.9583,9.916536,1576,3084,4660,11.5
143,2011-05-23,2,2011,may,0,1,working,2,25.898346999999998,29.5148,81.0,15.667413999999999,836,3438,4274,11.5
144,2011-05-24,2,2011,may,0,2,working,2,27.060000000000002,30.240650000000002,74.0833,13.875164,659,3833,4492,11.5
145,2011-05-25,2,2011,may,0,3,working,1,27.094153,30.7771,69.625,10.333611000000001,740,4238,4978,11.5
146,2011-05-26,2,2011,may,0,4,working,1,29.041653,32.7344,67.75,13.376014,758,3919,4677,11.5
147,2011-05-27,2,2011,may,0,5,working,1,27.948347000000002,31.8504,65.375,16.125493,871,3808,4679,11.5
148,2011-05-28,2,2011,may,0,6,holiday/weekend,1,26.889153,30.61895,72.9583,15.416164,2001,2757,4758,11.5
149,2011-05-29,2,2011,may,0,0,holiday/weekend,1,27.3675,30.777500000000003,81.875,14.333846,2355,2433,4788,11.5
150,2011-05-30,2,2011,may,1,1,holiday/weekend,1,30.066653000000002,33.5546,68.5,8.792075,1549,2549,4098,11.5
151,2011-05-31,2,2011,may,0,2,working,1,31.775000000000002,36.26915,63.6667,7.459042999999999,673,3309,3982,11.5
152,2011-06-01,2,2011,june,0,3,working,2,31.330847000000002,36.04835,67.7083,13.875164,513,3461,3974,11.5
153,2011-06-02,2,2011,june,0,4,working,1,29.314999999999998,32.1971,30.5,19.583229000000003,736,4232,4968,11.5
154,2011-06-03,2,2011,june,0,5,working,1,25.419999999999998,29.356650000000002,35.4167,16.959107,898,4414,5312,11.5
155,2011-06-04,2,2011,june,0,6,holiday/weekend,1,26.035,29.7348,45.625,8.250514,1869,3473,5342,11.5
156,2011-06-05,2,2011,june,0,0,holiday/weekend,2,26.581653000000003,30.8402,65.25,9.292364000000001,1685,3221,4906,11.5
157,2011-06-06,2,2011,june,0,1,working,1,27.811653,31.0929,60.0,8.167032,673,3875,4548,11.5
158,2011-06-07,2,2011,june,0,2,working,1,29.0075,32.7975,59.791700000000006,12.583136,763,4070,4833,11.5
159,2011-06-08,2,2011,june,0,3,working,1,31.809153,36.36395,62.20830000000001,9.166739,676,3725,4401,11.5
160,2011-06-09,2,2011,june,0,4,working,2,33.141653,37.87895,56.833299999999994,10.042161,563,3352,3915,11.5
161,2011-06-10,2,2011,june,0,5,working,1,30.955000000000002,35.1646,60.5,9.417118,815,3771,4586,11.5
162,2011-06-11,2,2011,june,0,6,holiday/weekend,1,29.724999999999998,33.901900000000005,65.45830000000001,10.374949999999998,1729,3237,4966,11.5
163,2011-06-12,2,2011,june,0,0,holiday/weekend,1,28.392500000000002,32.166250000000005,74.7917,10.958988999999999,1467,2993,4460,11.5
164,2011-06-13,2,2011,june,0,1,working,1,26.035,30.082700000000003,49.4583,20.45845,863,4157,5020,11.5
165,2011-06-14,2,2011,june,0,2,working,1,24.770847,29.5773,50.708299999999994,18.041961,727,4164,4891,11.5
166,2011-06-15,2,2011,june,0,3,working,1,25.693347,29.3877,47.1667,11.250104,769,4411,5180,11.5
167,2011-06-16,2,2011,june,0,4,working,2,25.761653000000003,29.767300000000002,68.8333,13.833556999999999,545,3222,3767,11.5
168,2011-06-17,2,2011,june,0,5,working,1,26.615847000000002,30.01915,73.5833,9.582942999999998,863,3981,4844,11.5
169,2011-06-18,2,2011,june,0,6,holiday/weekend,1,28.563347,32.197700000000005,67.0417,8.000336,1807,3312,5119,11.5
170,2011-06-19,2,2011,june,0,0,holiday/weekend,2,28.665847,32.292300000000004,66.6667,6.834,1639,3105,4744,11.5
171,2011-06-20,2,2011,june,0,1,working,2,26.035,29.767300000000002,74.625,10.416825,699,3311,4010,11.5
172,2011-06-21,3,2011,june,0,2,working,2,27.914153000000002,31.8823,77.0417,11.458675000000001,774,4061,4835,11.5
173,2011-06-22,3,2011,june,0,3,working,1,30.066653000000002,34.69145,70.75,11.541554,661,3846,4507,11.5
174,2011-06-23,3,2011,june,0,4,working,2,29.861653,34.69165,70.3333,15.999868,746,4044,4790,11.5
175,2011-06-24,3,2011,june,0,5,working,1,29.690847,32.82915,57.3333,14.875675,969,4022,4991,11.5
176,2011-06-25,3,2011,june,0,6,holiday/weekend,1,28.494999999999997,32.16565,48.3333,14.041257,1782,3420,5202,11.5
177,2011-06-26,3,2011,june,0,0,holiday/weekend,1,27.880000000000003,31.88145,51.3333,6.3337311,1920,3385,5305,11.5
178,2011-06-27,3,2011,june,0,1,working,2,27.982499999999998,31.8502,65.8333,7.2083960000000005,854,3854,4708,11.5
179,2011-06-28,3,2011,june,0,2,working,1,30.510847000000002,34.6279,63.416700000000006,9.666960999999999,732,3916,4648,11.5
180,2011-06-29,3,2011,june,0,3,working,1,29.861653,32.7344,49.7917,17.542007,848,4377,5225,11.5
181,2011-06-30,3,2011,june,0,4,working,1,28.563347,31.8504,43.416700000000006,12.415904000000001,1027,4488,5515,11.5
182,2011-07-01,3,2011,july,0,5,working,1,29.622500000000002,32.6081,39.625,6.874736,1246,4116,5362,11.5
183,2011-07-02,3,2011,july,0,6,holiday/weekend,1,30.271653,33.3654,44.4583,7.709154,2204,2915,5119,11.5
184,2011-07-03,3,2011,july,0,0,holiday/weekend,2,29.383347,33.42875,68.25,15.333486,2282,2367,4649,11.5
185,2011-07-04,3,2011,july,1,1,holiday/weekend,2,29.793346999999997,33.27085,63.7917,5.4591064000000005,3065,2978,6043,11.5
186,2011-07-05,3,2011,july,0,2,working,1,30.613346999999997,34.816900000000004,59.0417,8.459286,1031,3634,4665,11.5
187,2011-07-06,3,2011,july,0,3,working,1,29.52,34.28165,74.33330000000001,10.042161,784,3845,4629,11.5
188,2011-07-07,3,2011,july,0,4,working,1,30.75,34.34355,65.125,10.666400000000001,754,3838,4592,11.5
189,2011-07-08,3,2011,july,0,5,working,2,29.075847,33.524150000000006,75.79169999999999,15.083643,692,3348,4040,11.5
190,2011-07-09,3,2011,july,0,6,holiday/weekend,1,30.066653000000002,33.2079,60.9167,11.250104,1988,3348,5336,11.5
191,2011-07-10,3,2011,july,0,0,holiday/weekend,1,30.6475,34.50125,57.8333,12.292557,1743,3138,4881,11.5
192,2011-07-11,3,2011,july,0,1,working,1,31.2625,36.4902,63.5833,18.916579,723,3363,4086,11.5
193,2011-07-12,3,2011,july,0,2,working,1,32.560846999999995,36.96375,55.9167,13.417017999999999,662,3596,4258,11.5
194,2011-07-13,3,2011,july,0,3,working,1,30.613346999999997,34.4702,63.1667,9.790911000000001,748,3594,4342,11.5
195,2011-07-14,3,2011,july,0,4,working,1,27.914153000000002,31.7552,47.625,16.124689,888,4196,5084,11.5
196,2011-07-15,3,2011,july,0,5,working,1,27.196652999999998,31.21855,59.12500000000001,12.249811,1318,4220,5538,11.5
197,2011-07-16,3,2011,july,0,6,holiday/weekend,1,28.153347,31.91315,58.5,13.958914,2418,3505,5923,11.5
198,2011-07-17,3,2011,july,0,0,holiday/weekend,1,29.485847,33.49165,60.4167,16.417211,2006,3296,5302,11.5
199,2011-07-18,3,2011,july,0,1,working,1,30.613346999999997,35.19625,65.125,14.458867999999999,841,3617,4458,11.5
200,2011-07-19,3,2011,july,0,2,working,1,31.843347,37.37395,65.0417,8.7502,752,3789,4541,11.5
201,2011-07-20,3,2011,july,0,3,working,1,31.501653,37.3425,70.70830000000001,7.625739,644,3688,4332,11.5
202,2011-07-21,3,2011,july,0,4,working,2,33.415,41.31855,69.125,14.875407,632,3152,3784,11.5
203,2011-07-22,3,2011,july,0,5,working,1,34.781653,42.0448,58.0417,8.9177,562,2825,3387,11.5
204,2011-07-23,3,2011,july,0,6,holiday/weekend,1,34.815847,40.214349999999996,50.0,8.791807,987,2298,3285,11.5
205,2011-07-24,3,2011,july,0,0,holiday/weekend,1,34.03,39.74145,55.0833,11.334456999999999,1050,2556,3606,11.5
206,2011-07-25,3,2011,july,0,1,working,1,30.476653000000002,36.0479,75.7083,6.0841560999999995,568,3272,3840,11.5
207,2011-07-26,3,2011,july,0,2,working,1,31.638347,34.84895,54.0833,13.417285999999999,750,3840,4590,11.5
208,2011-07-27,3,2011,july,0,3,working,1,31.775000000000002,34.53335,40.291700000000006,12.292020999999998,755,3901,4656,11.5
209,2011-07-28,3,2011,july,0,4,working,1,31.945847,36.995,58.3333,11.958093,606,3784,4390,11.5
210,2011-07-29,3,2011,july,0,5,working,1,34.371653,39.29835,54.25,11.667245999999999,670,3176,3846,11.5
211,2011-07-30,3,2011,july,0,6,holiday/weekend,1,32.970847,36.42685,46.5833,11.291979,1559,2916,4475,11.5
212,2011-07-31,3,2011,july,0,0,holiday/weekend,1,33.039153,36.4898,48.0833,11.042470999999999,1524,2778,4302,11.5
213,2011-08-01,3,2011,august,0,1,working,1,31.638347,35.1646,55.0833,10.500039,729,3537,4266,11.5
214,2011-08-02,3,2011,august,0,2,working,1,32.116653,35.35355,49.125,13.79195,801,4044,4845,11.5
215,2011-08-03,3,2011,august,0,3,working,2,29.998347,33.99685,65.75,9.084061,467,3107,3574,11.5
216,2011-08-04,3,2011,august,0,4,working,2,29.11,33.2394,75.75,13.20905,799,3777,4576,11.5
217,2011-08-05,3,2011,august,0,5,working,1,29.144153000000003,32.82835,63.083299999999994,12.374632,1023,3843,4866,11.5
218,2011-08-06,3,2011,august,0,6,holiday/weekend,2,29.383347,33.807700000000004,75.5,15.29275,1521,2773,4294,11.5
219,2011-08-07,3,2011,august,0,0,holiday/weekend,1,30.442500000000003,35.7646,75.29169999999999,13.499629,1298,2487,3785,11.5
220,2011-08-08,3,2011,august,0,1,working,1,31.365000000000002,35.16415,59.2083,12.875725000000001,846,3480,4326,11.5
221,2011-08-09,3,2011,august,0,2,working,1,31.775000000000002,36.20605,57.04169999999999,10.125107,907,3695,4602,11.5
222,2011-08-10,3,2011,august,0,3,working,1,31.433346999999998,34.24915,42.4167,13.417285999999999,884,3896,4780,11.5
223,2011-08-11,3,2011,august,0,4,working,1,29.4175,32.57605,42.375,11.041332,812,3980,4792,11.5
224,2011-08-12,3,2011,august,0,5,working,1,29.041653,32.7021,41.5,8.416607,1051,3854,4905,11.5
